coramo;linha_negocio;nome_ramo;status_carteira;is_run_off
1140,0;03. Patrimonial & Residencial;Ramo 1140.0;Mercado Ativo;0
1180,0;03. Patrimonial & Residencial;Ramo 1180.0;Mercado Ativo;0
9290,0;02. Vida, Prestamista & Pessoas;Ramo 9290.0;Mercado Ativo;0
9690,0;02. Vida, Prestamista & Pessoas;Ramo 9690.0;Mercado Ativo;0
9770,0;02. Vida, Prestamista & Pessoas;Ramo 9770.0;Mercado Ativo;0
9820,0;02. Vida, Prestamista & Pessoas;Ramo 9820.0;Mercado Ativo;0
9870,0;02. Vida, Prestamista & Pessoas;Ramo 9870.0;Mercado Ativo;0
9930,0;02. Vida, Prestamista & Pessoas;Ramo 9930.0;Mercado Ativo;0
13290,0;02. Vida, Prestamista & Pessoas;Ramo 13290.0;Mercado Ativo;0
13690,0;02. Vida, Prestamista & Pessoas;Ramo 13690.0;Mercado Ativo;0
13810,0;02. Vida, Prestamista & Pessoas;Ramo 13810.0;Mercado Ativo;0
13870,0;02. Vida, Prestamista & Pessoas;Ramo 13870.0;Mercado Ativo;0
13770,0;02. Vida, Prestamista & Pessoas;Ramo 13770.0;Mercado Ativo;0
13900,0;02. Vida, Prestamista & Pessoas;Ramo 13900.0;Mercado Ativo;0
13910,0;02. Vida, Prestamista & Pessoas;Ramo 13910.0;Mercado Ativo;0
6210,0;04. Rural / Agronegócio;Ramo 6210.0;Mercado Ativo;0
6220,0;04. Rural / Agronegócio;Ramo 6220.0;Mercado Ativo;0
6520,0;04. Rural / Agronegócio;Ramo 6520.0;Mercado Ativo;0
6540,0;04. Rural / Agronegócio;Ramo 6540.0;Mercado Ativo;0
6550,0;04. Rural / Agronegócio;Ramo 6550.0;Mercado Ativo;0
6560,0;04. Rural / Agronegócio;Ramo 6560.0;Mercado Ativo;0
6580,0;04. Rural / Agronegócio;Ramo 6580.0;Mercado Ativo;0
7750,0;05. Transportes & Cargas;Ramo 7750.0;Mercado Ativo;0
7760,0;05. Transportes & Cargas;Ramo 7760.0;Mercado Ativo;0
15370,0;03. Patrimonial & Residencial;Ramo 15370.0;Mercado Ativo;0
5200,0;01. Automóveis & Frotas;Ramo 5200.0;Mercado Ativo;0
5310,0;01. Automóveis & Frotas;Ramo 5310.0;Mercado Ativo;0
5420,0;01. Automóveis & Frotas;Ramo 5420.0;Mercado Ativo;0
