damesano;coenti;coramo;premio_ganho;sinistro_ocorrido;desp_com;data_competencia
202005;1970;1140,0;56320,16;12189,92;10834,66;2020-05-01
202005;1970;1180,0;255567,86;156093,69;44035,17;2020-05-01
202504;1007;9290,0;203796,54;-77175,02;37233,08;2025-04-01
202504;1007;9690,0;0,0;0,67;0,0;2025-04-01
202504;1007;9770,0;-3089,97;21193,44;8078,19;2025-04-01
202504;1007;9820,0;8109742,56;796338,43;1639441,33;2025-04-01
202504;1007;9870,0;515659,64;261042,49;222681,44;2025-04-01
202504;1007;9930,0;515454,42;197445,71;166572,97;2025-04-01
202504;1007;13290,0;1,55;0,02;1,74;2025-04-01
202504;1007;13690,0;723,08;-319,7;0,0;2025-04-01
202504;1007;13810,0;126581,71;1365,03;30010,95;2025-04-01
202504;1007;13870,0;264134,06;14924,86;0,0;2025-04-01
202503;6351;13770,0;15761642,13;1661713,7;16957934,23;2025-03-01
202503;6351;13810,0;9026726,52;-448380,9;1771125,35;2025-03-01
202412;5321;13690,0;5422235,21;4444827,66;271052,36;2024-12-01
202412;5321;13810,0;9455511,64999998;-1474764,89000001;1713964,51;2024-12-01
202412;5321;13900,0;16279438,12;377780,41;3582128,35;2024-12-01
202412;5321;13910,0;700300,630000001;0,0;0,0;2024-12-01
202501;1571;6210,0;5320983,69;4522483,48;360613,2;2025-01-01
202501;1571;6220,0;3958597,58;5788774,58;380273,66;2025-01-01
202501;1571;6520,0;7536,2;0,0;0,75;2025-01-01
202501;1571;6540,0;4167511,15;2352059,04;916313,12;2025-01-01
202501;1571;6550,0;3540369,62;1265650,69;752404,92;2025-01-01
202501;1571;6560,0;0,0;629,3;0,0;2025-01-01
202501;1571;6580,0;15288,49;-4000,0;3982,67;2025-01-01
202501;1571;7750,0;2098891,5;-164052,61;490058,19;2025-01-01
202501;1571;7760,0;74153,9;1004,86;17101,05;2025-01-01
202501;1571;9820,0;1401,7;0,0;232,13;2025-01-01
202502;1571;6550,0;3426070,4;2202461,46;777798,76;2025-02-01
202502;1571;6560,0;0,0;808,48;0,0;2025-02-01
202502;1571;6580,0;11389,48;0,0;3036,94;2025-02-01
202502;1571;7760,0;69536,73;-5174,05;15768,95;2025-02-01
202502;1571;9820,0;827,49;0,0;120,96;2025-02-01
202502;1571;15370,0;926,06;0,0;122,41;2025-02-01
202501;1589;5200,0;1127527,41;19213,83;247401,25;2025-01-01
202501;1589;5310,0;10704336,23;7197793,68;2290450,5;2025-01-01
202501;1589;5420,0;4558052,98;1445953,72;984994,64;2025-01-01
202501;1589;5530,0;11438827,97;2359807,28;2716333,64;2025-01-01
202501;1589;10610,0;3392,51;0,0;1119,53;2025-01-01
202501;1589;10650,0;646,19;0,0;213,24;2025-01-01
202502;1589;5200,0;1011136,39;22910,57;223928,65;2025-02-01
202502;1589;5310,0;9687508,5;8124783,32;2112071,23;2025-02-01
202502;1589;5420,0;4078283,01;2285704,76;892074,81;2025-02-01
202502;1589;5530,0;10233950,63;2050697,18;2511319,6;2025-02-01
202502;1589;10610,0;4078,38;0,0;1345,86;2025-02-01
202502;1589;10650,0;663,92;0,0;219,09;2025-02-01
202504;2101;13910,0;24832873,744;3988665,659;25243760,78;2025-04-01
202501;1627;1140,0;2666624,5;149532,51;530446,38;2025-01-01
202501;1627;1180,0;602671,27;-4468,5;120216,39;2025-01-01
202501;1627;1710,0;3647826,56;2573,45;951045,42;2025-01-01
202501;1627;1950,0;1654706,39;288738,73;1144874,18;2025-01-01
202501;1627;3510,0;37133,87;-115,0;7421,68;2025-01-01
202501;1627;7460,0;18363,83;0,0;2203,67;2025-01-01
202501;1627;7750,0;623703,43;306,0;76074,78;2025-01-01
202501;1627;7760,0;7145,02;-22,0;857,42;2025-01-01
202603;3654;9900,0;1725811,35;311222,55;190829,62;2026-03-01
202502;2542;13290,0;61918,1;11739,2;27936,1;2025-02-01
202502;2542;13900,0;113772,53;67680,61;47600,73;2025-02-01
202502;1627;1140,0;2486664,16;288491,54;495091,91;2025-02-01
202502;1627;1180,0;591208,78;-16367,8;117861,2;2025-02-01
202502;1627;1710,0;3317441,3;-23189,03;896487,61;2025-02-01
202502;1627;1950,0;1516139,36;289493,34;1048626,11;2025-02-01
202502;1627;3510,0;36930,26;-90,0;7368,94;2025-02-01
202502;1627;7460,0;16586,67;0,0;1990,41;2025-02-01
202502;1627;7750,0;536414,16;1200,0;66617,75;2025-02-01
202502;1627;7760,0;6036,91;-37,0;724,42;2025-02-01
202501;1741;1180,0;4829708,93;932534,68;607288,99;2025-01-01
202501;1741;1670,0;1424963,58;1538247,14;368863,9;2025-01-01
202501;1741;3100,0;64499,71;0,0;13970,93;2025-01-01
202501;1741;3510,0;617,98;0,0;153,91;2025-01-01
202501;1741;3780,0;681220,8;223203,4;134807,82;2025-01-01
202501;1741;7460,0;98092,0;0,0;26976,82;2025-01-01
202501;1741;7750,0;17304001,37;3170045,34;4415822,65;2025-01-01
202501;1741;7760,0;3745569,99;58717,32;1040583,44;2025-01-01
202502;1741;1180,0;2116530,64;1120610,63;289550,87;2025-02-01
